mode,selectivity,threshold,query_idx,query,strategy,recall_at_k,completeness_at_k,n_returned,candidates,gls_rho,lat_p50_ms,lat_p95_ms
uncorrelated,1.0,1000,15,খেলোয়াড় নির্বাচন,pre_filter,0.9,1.0,10,10,0.0,3130.496194004081,3136.9261908635963
uncorrelated,1.0,1000,15,খেলোয়াড় নির্বাচন,post_filter,0.9,1.0,10,10,0.0,4.9212430021725595,4.929998161969706
uncorrelated,1.0,1000,15,খেলোয়াড় নির্বাচন,over_fetch,0.9,1.0,10,100,0.0,4.830600984860212,5.2553964662365615
uncorrelated,1.0,1000,15,খেলোয়াড় নির্বাচন,iterative,0.9,1.0,10,10,0.0,4.484794975724071,4.740403103642166
uncorrelated,1.0,1000,16,শেয়ার বাজার,pre_filter,0.9,1.0,10,10,0.0,3146.2551089935005,3157.359950733371
uncorrelated,1.0,1000,16,শেয়ার বাজার,post_filter,0.9,1.0,10,10,0.0,5.648141028359532,5.838816805044189
uncorrelated,1.0,1000,16,শেয়ার বাজার,over_fetch,0.9,1.0,10,100,0.0,6.095740012824535,6.635405233828351
uncorrelated,1.0,1000,16,শেয়ার বাজার,iterative,0.9,1.0,10,10,0.0,5.229897971730679,5.236390593927354
uncorrelated,1.0,1000,17,ব্যাংক ঋণ,pre_filter,1.0,1.0,10,10,0.0,3153.725848009344,3349.7526357648894
uncorrelated,1.0,1000,17,ব্যাংক ঋণ,post_filter,1.0,1.0,10,10,0.0,5.398597975727171,5.40094249881804
uncorrelated,1.0,1000,17,ব্যাংক ঋণ,over_fetch,1.0,1.0,10,100,0.0,5.16324199270457,5.385495175141841
uncorrelated,1.0,1000,17,ব্যাংক ঋণ,iterative,1.0,1.0,10,10,0.0,4.716083989478648,4.754559911089018
uncorrelated,1.0,1000,18,অর্থনৈতিক প্রবৃদ্ধি,pre_filter,1.0,1.0,10,10,0.0,3284.7622870467603,3340.035835560411
uncorrelated,1.0,1000,18,অর্থনৈতিক প্রবৃদ্ধি,post_filter,1.0,1.0,10,10,0.0,5.693086015526205,6.155357509851456
uncorrelated,1.0,1000,18,অর্থনৈতিক প্রবৃদ্ধি,over_fetch,1.0,1.0,10,100,0.0,6.894726015161723,7.126915210392326
uncorrelated,1.0,1000,18,অর্থনৈতিক প্রবৃদ্ধি,iterative,1.0,1.0,10,10,0.0,6.181883974932134,6.398284493479878
uncorrelated,1.0,1000,19,বিনিয়োগ বাজার,pre_filter,1.0,1.0,10,10,0.0,3204.801189014688,3405.364551889943
uncorrelated,1.0,1000,19,বিনিয়োগ বাজার,post_filter,1.0,1.0,10,10,0.0,5.167068971786648,5.287942616268992
uncorrelated,1.0,1000,19,বিনিয়োগ বাজার,over_fetch,1.0,1.0,10,100,0.0,4.689132969360799,5.0489782355725765
uncorrelated,1.0,1000,19,বিনিয়োগ বাজার,iterative,1.0,1.0,10,10,0.0,4.362934036180377,4.410030954750255
uncorrelated,0.4993837051645507,500,0,বিশ্ববিদ্যালয় ভর্তি,pre_filter,1.0,1.0,10,10,-0.041051046575567705,1998.6551059992053,2016.3172415050212
uncorrelated,0.4993837051645507,500,0,বিশ্ববিদ্যালয় ভর্তি,post_filter,0.5,0.5,5,10,-0.041051046575567705,5.210761970374733,5.301573761971667
uncorrelated,0.4993837051645507,500,0,বিশ্ববিদ্যালয় ভর্তি,over_fetch,1.0,1.0,10,100,-0.041051046575567705,6.907569011673331,7.582860602997243
uncorrelated,0.4993837051645507,500,0,বিশ্ববিদ্যালয় ভর্তি,iterative,1.0,1.0,10,20,-0.041051046575567705,13.14997801091522,14.159649284556508
uncorrelated,0.4993837051645507,500,1,শিক্ষা নীতি পরিবর্তন,pre_filter,1.0,1.0,10,10,0.029742354266774806,2007.705392956268,2017.655140493298
uncorrelated,0.4993837051645507,500,1,শিক্ষা নীতি পরিবর্তন,post_filter,0.4,0.4,4,10,0.029742354266774806,4.470988002140075,4.515018663369119
uncorrelated,0.4993837051645507,500,1,শিক্ষা নীতি পরিবর্তন,over_fetch,1.0,1.0,10,100,0.029742354266774806,4.808229045011103,4.827029077569023
uncorrelated,0.4993837051645507,500,1,শিক্ষা নীতি পরিবর্তন,iterative,1.0,1.0,10,40,0.029742354266774806,13.658962969202548,13.673832779750228
uncorrelated,0.4993837051645507,500,2,স্কুল শিক্ষার্থী,pre_filter,1.0,1.0,10,10,-0.009484394290676173,1993.536226975266,2018.6626222799532
uncorrelated,0.4993837051645507,500,2,স্কুল শিক্ষার্থী,post_filter,0.8,0.8,8,10,-0.009484394290676173,4.447363957297057,4.467273806221783
uncorrelated,0.4993837051645507,500,2,স্কুল শিক্ষার্থী,over_fetch,1.0,1.0,10,100,-0.009484394290676173,4.7338579897768795,4.755263641709462
uncorrelated,0.4993837051645507,500,2,স্কুল শিক্ষার্থী,iterative,1.0,1.0,10,20,-0.009484394290676173,9.001561033073813,9.0425884060096
uncorrelated,0.4993837051645507,500,3,পরীক্ষার ফলাফল,pre_filter,1.0,1.0,10,10,0.04823430608493423,1976.6468839952722,1996.979129605461
uncorrelated,0.4993837051645507,500,3,পরীক্ষার ফলাফল,post_filter,1.0,1.0,10,10,0.04823430608493423,4.556921951007098,5.092456203419715
uncorrelated,0.4993837051645507,500,3,পরীক্ষার ফলাফল,over_fetch,1.0,1.0,10,100,0.04823430608493423,4.92248497903347,5.0640981760807335
uncorrelated,0.4993837051645507,500,3,পরীক্ষার ফলাফল,iterative,1.0,1.0,10,10,0.04823430608493423,4.576169012580067,4.90659138886258
uncorrelated,0.4993837051645507,500,4,নির্বাচন কমিশন,pre_filter,1.0,1.0,10,10,0.074687337273782,2011.9609989924356,2055.15335983946
uncorrelated,0.4993837051645507,500,4,নির্বাচন কমিশন,post_filter,0.7,0.7,7,10,0.074687337273782,4.487289988901466,4.603286465862766
uncorrelated,0.4993837051645507,500,4,নির্বাচন কমিশন,over_fetch,0.8,1.0,10,100,0.074687337273782,4.806114011444151,7.561082398751751
uncorrelated,0.4993837051645507,500,4,নির্বাচন কমিশন,iterative,0.8,1.0,10,20,0.074687337273782,10.889952012803406,10.92962670372799
uncorrelated,0.4993837051645507,500,5,রাজনৈতিক দল,pre_filter,1.0,1.0,10,10,-0.08634447697802376,2023.1732769752853,2052.5471682893112
uncorrelated,0.4993837051645507,500,5,রাজনৈতিক দল,post_filter,0.5,0.5,5,10,-0.08634447697802376,4.490515973884612,4.846150067169219
uncorrelated,0.4993837051645507,500,5,রাজনৈতিক দল,over_fetch,1.0,1.0,10,100,-0.08634447697802376,4.656289995182306,5.238849186571315
uncorrelated,0.4993837051645507,500,5,রাজনৈতিক দল,iterative,1.0,1.0,10,20,-0.08634447697802376,8.73627804685384,8.747188717825338
uncorrelated,0.4993837051645507,500,6,সংসদ নির্বাচন,pre_filter,1.0,1.0,10,10,0.010517600770777912,1980.0051790080033,2028.711630962789
uncorrelated,0.4993837051645507,500,6,সংসদ নির্বাচন,post_filter,0.5,0.5,5,10,0.010517600770777912,5.78929902985692,6.279143790015951
uncorrelated,0.4993837051645507,500,6,সংসদ নির্বাচন,over_fetch,0.9,1.0,10,100,0.010517600770777912,6.542537012137473,7.233211386483163
uncorrelated,0.4993837051645507,500,6,সংসদ নির্বাচন,iterative,0.9,1.0,10,20,0.010517600770777912,9.114845015574247,9.35624209814705
uncorrelated,0.4993837051645507,500,7,মন্ত্রিসভার সিদ্ধান্ত,pre_filter,0.9,1.0,10,10,0.029742354266774806,2038.7521639931947,2126.4208013075404
uncorrelated,0.4993837051645507,500,7,মন্ত্রিসভার সিদ্ধান্ত,post_filter,0.3,0.3,3,10,0.029742354266774806,4.808919038623571,5.781846930040047
uncorrelated,0.4993837051645507,500,7,মন্ত্রিসভার সিদ্ধান্ত,over_fetch,0.9,1.0,10,100,0.029742354266774806,5.032974004279822,5.376155680278316
