selectivity,mult,query_idx,recall_at_k,completeness_at_k,candidates,lat_p50_ms
0.09938781379678704,2,0,0.2,0.2,20,3.780159051530063
0.09938781379678704,5,0,0.3,0.3,50,4.064437001943588
0.09938781379678704,10,0,1.0,1.0,100,4.344618006143719
0.09938781379678704,20,0,1.0,1.0,200,4.745387996081263
0.09938781379678704,50,0,1.0,1.0,500,6.631355034187436
0.09938781379678704,100,0,1.0,1.0,1000,10.50802698591724
0.09938781379678704,1,1,0.0,0.0,10,4.165568971075118
0.09938781379678704,2,1,0.1,0.1,20,4.076199023984373
0.09938781379678704,5,1,0.5,0.5,50,4.151793022174388
0.09938781379678704,10,1,1.0,1.0,100,4.315693979151547
0.09938781379678704,20,1,1.0,1.0,200,4.7984590055420995
0.09938781379678704,50,1,1.0,1.0,500,7.1786330081522465
0.09938781379678704,100,1,1.0,1.0,1000,11.71264995355159
0.09938781379678704,1,2,0.1,0.1,10,4.0115080191753805
0.09938781379678704,2,2,0.1,0.1,20,4.012920020613819
0.09938781379678704,5,2,0.4,0.4,50,4.02472197310999
0.09938781379678704,10,2,0.6,0.6,100,4.370377981103957
0.09938781379678704,20,2,1.0,1.0,200,5.159293010365218
0.09938781379678704,50,2,1.0,1.0,500,6.857003027107567
0.09938781379678704,100,2,1.0,1.0,1000,12.355819984804839
0.09938781379678704,1,3,0.1,0.1,10,3.7464339984580874
0.09938781379678704,2,3,0.1,0.1,20,4.031585005577654
0.09938781379678704,5,3,0.6,0.6,50,4.182762000709772
0.09938781379678704,10,3,1.0,1.0,100,4.354508011601865
0.09938781379678704,20,3,1.0,1.0,200,4.660007019992918
0.09938781379678704,50,3,1.0,1.0,500,6.730263005010784
0.09938781379678704,100,3,1.0,1.0,1000,11.770739976782352
0.09938781379678704,1,4,0.0,0.0,10,3.9518540143035352
0.09938781379678704,2,4,0.0,0.0,20,4.2296110186725855
0.09938781379678704,5,4,0.3,0.3,50,3.986930998507887
0.09938781379678704,10,4,0.7,1.0,100,4.2685349471867085
0.09938781379678704,20,4,1.0,1.0,200,4.848214040976018
